country,year,description,logo_url
Tonga,1995,Équipe nationale : Tonga — Coupe du monde de rugby 1995.,/logos/tonga.png
Afrique_du_Sud,1999,Équipe nationale : Afrique du Sud — Coupe du monde de rugby 1999.,/logos/afrique-du-sud.png
Angleterre,1999,Équipe nationale : Angleterre — Coupe du monde de rugby 1999.,/logos/angleterre.png
Argentine,1999,Équipe nationale : Argentine — Coupe du monde de rugby 1999.,/logos/argentine.png
Australie,1999,Équipe nationale : Australie — Coupe du monde de rugby 1999.,/logos/australie.png
Canada,1999,Équipe nationale : Canada — Coupe du monde de rugby 1999.,/logos/canada.png
Écosse,1999,Équipe nationale : Écosse — Coupe du monde de rugby 1999.,/logos/ecosse.png
Espagne,1999,Équipe nationale : Espagne — Coupe du monde de rugby 1999.,/logos/espagne.png
Fidji,1999,Équipe nationale : Fidji — Coupe du monde de rugby 1999.,/logos/fidji.png
France,1999,Équipe nationale : France — Coupe du monde de rugby 1999.,/logos/france.png
Irlande,1999,Équipe nationale : Irlande — Coupe du monde de rugby 1999.,/logos/irlande.png
Italie,1999,Équipe nationale : Italie — Coupe du monde de rugby 1999.,/logos/italie.png
Japon,1999,Équipe nationale : Japon — Coupe du monde de rugby 1999.,/logos/japon.png
Namibie,1999,Équipe nationale : Namibie — Coupe du monde de rugby 1999.,/logos/namibie.png
Nouvelle_Zélande,1999,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 1999.,/logos/nouvelle-zelande.png
Pays_de_Galles,1999,Équipe nationale : Pays de Galles — Coupe du monde de rugby 1999.,/logos/pays-de-galles.png
Roumanie,1999,Équipe nationale : Roumanie — Coupe du monde de rugby 1999.,/logos/roumanie.png
Samoa,1999,Équipe nationale : Samoa — Coupe du monde de rugby 1999.,/logos/samoa.png
Tonga,1999,Équipe nationale : Tonga — Coupe du monde de rugby 1999.,/logos/tonga.png
Uruguay,1999,Équipe nationale : Uruguay — Coupe du monde de rugby 1999.,/logos/uruguay.png
USA,1999,Équipe nationale : États-Unis — Coupe du monde de rugby 1999.,/logos/etats-unis.png
Afrique_du_Sud,2003,Équipe nationale : Afrique du Sud — Coupe du monde de rugby 2003.,/logos/afrique-du-sud.png
Angleterre,2003,Équipe nationale : Angleterre — Coupe du monde de rugby 2003.,/logos/angleterre.png
Argentine,2003,Équipe nationale : Argentine — Coupe du monde de rugby 2003.,/logos/argentine.png
Australie,2003,Équipe nationale : Australie — Coupe du monde de rugby 2003.,/logos/australie.png
Canada,2003,Équipe nationale : Canada — Coupe du monde de rugby 2003.,/logos/canada.png
Écosse,2003,Équipe nationale : Écosse — Coupe du monde de rugby 2003.,/logos/ecosse.png
Fidji,2003,Équipe nationale : Fidji — Coupe du monde de rugby 2003.,/logos/fidji.png
France,2003,Équipe nationale : France — Coupe du monde de rugby 2003.,/logos/france.png
Géorgie,2003,Équipe nationale : Géorgie — Coupe du monde de rugby 2003.,/logos/georgie.png
Irlande,2003,Équipe nationale : Irlande — Coupe du monde de rugby 2003.,/logos/irlande.png
Italie,2003,Équipe nationale : Italie — Coupe du monde de rugby 2003.,/logos/italie.png
Japon,2003,Équipe nationale : Japon — Coupe du monde de rugby 2003.,/logos/japon.png
Namibie,2003,Équipe nationale : Namibie — Coupe du monde de rugby 2003.,/logos/namibie.png
Nouvelle_Zélande,2003,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 2003.,/logos/nouvelle-zelande.png
Pays_de_Galles,2003,Équipe nationale : Pays de Galles — Coupe du monde de rugby 2003.,/logos/pays-de-galles.png
Roumanie,2003,Équipe nationale : Roumanie — Coupe du monde de rugby 2003.,/logos/roumanie.png
Samoa,2003,Équipe nationale : Samoa — Coupe du monde de rugby 2003.,/logos/samoa.png
Tonga,2003,Équipe nationale : Tonga — Coupe du monde de rugby 2003.,/logos/tonga.png
Uruguay,2003,Équipe nationale : Uruguay — Coupe du monde de rugby 2003.,/logos/uruguay.png
USA,2003,Équipe nationale : États-Unis — Coupe du monde de rugby 2003.,/logos/etats-unis.png
Afrique_du_Sud,2007,Équipe nationale : Afrique du Sud — Coupe du monde de rugby 2007.,/logos/afrique-du-sud.png
Angleterre,2007,Équipe nationale : Angleterre — Coupe du monde de rugby 2007.,/logos/angleterre.png
Argentine,2007,Équipe nationale : Argentine — Coupe du monde de rugby 2007.,/logos/argentine.png
Australie,2007,Équipe nationale : Australie — Coupe du monde de rugby 2007.,/logos/australie.png
Canada,2007,Équipe nationale : Canada — Coupe du monde de rugby 2007.,/logos/canada.png
Écosse,2007,Équipe nationale : Écosse — Coupe du monde de rugby 2007.,/logos/ecosse.png
Fidji,2007,Équipe nationale : Fidji — Coupe du monde de rugby 2007.,/logos/fidji.png
France,2007,Équipe nationale : France — Coupe du monde de rugby 2007.,/logos/france.png
Géorgie,2007,Équipe nationale : Géorgie — Coupe du monde de rugby 2007.,/logos/georgie.png
Irlande,2007,Équipe nationale : Irlande — Coupe du monde de rugby 2007.,/logos/irlande.png
Italie,2007,Équipe nationale : Italie — Coupe du monde de rugby 2007.,/logos/italie.png
Japon,2007,Équipe nationale : Japon — Coupe du monde de rugby 2007.,/logos/japon.png
Namibie,2007,Équipe nationale : Namibie — Coupe du monde de rugby 2007.,/logos/namibie.png
Nouvelle_Zélande,2007,Équipe nationale : Nouvelle-Zélande — Coupe du monde de rugby 2007.,/logos/nouvelle-zelande.png
Pays_de_Galles,2007,Équipe nationale : Pays de Galles — Coupe du monde de rugby 2007.,/logos/pays-de-galles.png
Portugal,2007,Équipe nationale : Portugal — Coupe du monde de rugby 2007.,/logos/portugal.png
Roumanie,2007,Équipe nationale : Roumanie — Coupe du monde de rugby 2007.,/logos/roumanie.png
Samoa,2007,Équipe nationale : Samoa — Coupe du monde de rugby 2007.,/logos/samoa.png
Tonga,2007,Équipe nationale : Tonga — Coupe du monde de rugby 2007.,/logos/tonga.png
USA,2007,Équipe nationale : États-Unis — Coupe du monde de rugby 2007.,/logos/etats-unis.png
Afrique_du_Sud,2011,Équipe nationale : Afrique du Sud — Coupe du monde de rugby 2011.,/logos/afrique-du-sud.png
Angleterre,2011,Équipe nationale : Angleterre — Coupe du monde de rugby 2011.,/logos/angleterre.png
